timestamp,cpu_percent,memory_usage_mb,memory_percent,response_time_ms,status
2026-05-09 07:02:47,0.00,11,100.00,14,unhealthy
2026-05-09 07:02:51,0.02,23.29,2.27,15,healthy
2026-05-09 07:02:57,99.45,1024,100.00,583,unhealthy
2026-05-09 07:03:01,0.00,11,100.00,19,unhealthy
2026-05-09 07:03:04,0.00,11,100.00,17,unhealthy
2026-05-09 07:03:07,0.00,11,100.00,15,unhealthy
2026-05-09 07:03:10,0.00,11,100.00,12,unhealthy
2026-05-09 07:03:16,0.02,23.3,2.28,16,healthy
2026-05-09 07:03:22,98.25,1024,100.00,271,unhealthy
2026-05-09 07:03:28,100.91,1024,100.00,111,unhealthy
2026-05-09 07:03:34,101.26,1024,100.00,5,unhealthy
2026-05-09 07:03:40,100.25,1024,100.00,16,unhealthy
2026-05-09 07:03:46,98.97,970.9,94.81,10,unhealthy
2026-05-09 07:03:53,101.90,1024,100.00,206,unhealthy
2026-05-09 07:03:56,0.00,11,100.00,22,unhealthy
2026-05-09 07:04:02,95.88,1024,100.00,118,healthy
2026-05-09 07:04:23,94.28,1018,99.41,129,healthy
2026-05-09 07:04:29,0.02,23.29,2.27,18,healthy
2026-05-09 07:04:35,0.02,23.38,2.28,15,healthy
2026-05-09 07:04:40,97.26,1024,100.00,9,unhealthy
2026-05-09 07:04:46,1.79,23.79,2.32,16,healthy
2026-05-09 07:04:52,0.02,23.54,2.30,32,healthy
2026-05-09 07:04:58,0.00,21.09,2.06,26,healthy
2026-05-09 07:05:03,5.85,23.37,2.28,13,healthy
2026-05-09 07:05:09,101.10,771.6,75.35,53,healthy
2026-05-09 07:05:15,0.02,23.3,2.28,16,healthy
2026-05-09 07:05:20,0.28,23.44,2.29,19,healthy
2026-05-09 07:05:26,63.97,915.9,89.44,86,healthy
2026-05-09 07:05:32,0.03,23.3,2.28,16,healthy
2026-05-09 07:05:37,0.02,23.39,2.28,16,healthy
2026-05-09 07:05:43,92.20,1024,100.00,41,unhealthy
2026-05-09 07:05:49,0.08,23.3,2.28,18,healthy
2026-05-09 07:05:54,45.33,229.7,22.43,38,healthy
2026-05-09 07:06:00,0.00,23.21,2.27,14,healthy
2026-05-09 07:06:06,5.11,23.86,2.33,15,healthy
2026-05-09 07:06:11,75.22,401.6,39.22,42,healthy
2026-05-09 07:06:17,0.00,23.38,2.28,18,healthy
2026-05-09 07:06:23,0.03,23.4,2.29,17,healthy
2026-05-09 07:06:29,100.82,977.9,95.50,473,healthy
2026-05-09 07:06:35,0.03,23.29,2.27,17,healthy
2026-05-09 07:06:41,0.02,23.38,2.28,17,healthy
2026-05-09 07:06:46,96.05,1024,100.00,119,healthy
2026-05-09 07:06:52,0.02,23.32,2.28,31,healthy
2026-05-09 07:06:58,52.39,257.3,25.13,114,healthy
2026-05-09 07:07:04,0.00,23.21,2.27,18,healthy
2026-05-09 07:07:09,0.02,23.61,2.31,15,healthy
2026-05-09 07:07:15,99.69,942.9,92.08,135,healthy
2026-05-09 07:07:21,0.30,23.33,2.28,14,healthy
2026-05-09 07:07:27,0.03,23.41,2.29,22,healthy
2026-05-09 07:07:33,95.24,1024,100.00,121,healthy
2026-05-09 07:07:38,97.94,1024,100.00,7,unhealthy
2026-05-09 07:07:44,99.61,1024,100.00,318,healthy
2026-05-09 07:07:50,86.32,445.4,43.50,74,healthy
